season,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec,action_state
Monsoon,764,28.4,89,0.68,6,1.21,0
Post-Monsoon,785,27.2,70,0.29,8,1.57,1
Winter,442,17.2,73,0.04,18,1.36,0
Monsoon,508,29.8,94,0.58,20,1.13,0
Winter,764,17.7,74,0.03,14,0.99,3
Monsoon,450,27.9,90,0.67,5,2.16,0
Pre-Monsoon,749,26.7,62,0.22,23,3.17,2
Winter,909,15.4,75,0.14,12,2.58,1
Pre-Monsoon,662,27.6,63,0.27,1,1.07,3
Monsoon,598,26.8,95,0.95,1,1.95,0
Monsoon,879,29.4,94,0.75,8,2.38,0
Monsoon,756,26.9,96,0.75,6,1.38,0
Monsoon,287,27.4,92,0.82,17,1.45,0
Post-Monsoon,357,27.7,83,0.3,3,2.27,0
Monsoon,530,28.5,91,0.59,5,1.21,0
Monsoon,678,29.6,96,0.73,23,1.92,0
Pre-Monsoon,828,32.6,80,0.5,0,1.73,0
Pre-Monsoon,275,32.1,74,0.18,13,2.71,0
Monsoon,841,23.2,91,0.59,8,2.31,0
Winter,429,16.5,74,0.1,22,2.5,0
Monsoon,898,25.7,94,0.9,12,1.87,0
Pre-Monsoon,446,31.4,70,0.26,23,2.32,0
Monsoon,474,25.3,96,0.66,19,1.89,0
Monsoon,269,26.0,97,0.59,11,2.1,0
Pre-Monsoon,327,25.8,75,0.15,12,1.12,4
Pre-Monsoon,404,28.5,83,0.31,3,2.56,0
Pre-Monsoon,668,26.4,70,0.49,8,2.96,0
Pre-Monsoon,670,31.4,67,0.51,19,2.12,0
Monsoon,402,22.2,97,0.91,10,1.64,0
Post-Monsoon,568,19.1,70,0.19,20,1.96,1
Post-Monsoon,763,23.6,83,0.12,5,1.97,1
Monsoon,278,23.1,93,0.88,13,1.97,0
Pre-Monsoon,866,32.4,64,0.39,1,2.27,0
Winter,618,20.7,75,0.06,13,1.69,1
Monsoon,399,24.0,93,0.55,16,1.92,0
Monsoon,318,28.9,96,0.94,8,1.88,0
Winter,516,17.6,74,0.04,15,2.15,0
Monsoon,459,24.0,95,0.65,16,1.56,0
Pre-Monsoon,726,28.6,83,0.58,15,3.15,0
Post-Monsoon,514,19.1,83,0.11,19,2.51,0
Pre-Monsoon,677,30.9,70,0.49,23,1.4,0
Pre-Monsoon,342,28.1,61,0.11,17,1.99,0
Monsoon,391,22.8,97,0.89,19,2.49,0
Monsoon,762,23.2,93,0.98,20,1.78,0
Monsoon,342,27.1,88,0.85,9,1.98,0
Post-Monsoon,929,26.0,79,0.29,14,1.61,1
Pre-Monsoon,283,32.1,67,0.22,10,2.27,0
Monsoon,535,24.1,89,0.74,3,1.79,0
Monsoon,496,24.4,97,0.56,1,1.65,0
Post-Monsoon,801,24.4,74,0.24,15,1.6,1
Monsoon,443,26.9,91,0.99,10,1.09,0
Post-Monsoon,532,21.3,78,0.38,5,1.53,0
Post-Monsoon,328,21.7,78,0.34,17,0.97,4
Monsoon,846,25.2,97,0.69,6,1.52,0
Post-Monsoon,331,19.5,75,0.11,6,2.81,0
Pre-Monsoon,514,25.6,77,0.44,3,1.03,0
Post-Monsoon,299,27.3,81,0.14,4,1.96,0
Post-Monsoon,873,27.1,72,0.2,22,1.65,1
Monsoon,455,23.9,87,0.83,1,0.89,0
Winter,788,18.6,76,0.12,15,2.14,1
Post-Monsoon,903,22.0,77,0.2,11,1.37,1
Monsoon,689,27.9,89,0.55,18,2.58,0
Winter,902,19.4,74,0.12,12,1.83,1
Post-Monsoon,706,26.8,76,0.19,3,0.72,3
Post-Monsoon,471,23.0,77,0.17,23,1.37,0
Pre-Monsoon,665,32.1,65,0.31,9,1.35,1
Monsoon,824,25.2,93,0.59,2,1.24,0
Winter,728,20.8,79,0.13,1,2.44,1
Monsoon,798,25.4,87,0.61,6,1.62,0
Monsoon,649,26.3,98,0.61,19,1.48,0
Winter,423,17.5,72,0.01,15,2.47,0
Post-Monsoon,322,25.9,70,0.21,20,1.2,0
Pre-Monsoon,625,31.1,70,0.48,15,1.18,0
Winter,568,15.9,70,0.11,18,2.36,1
Monsoon,801,22.7,94,0.88,13,1.36,0
Winter,659,14.7,73,0.05,16,1.54,1
Monsoon,387,22.1,92,0.76,12,1.81,0
Post-Monsoon,878,20.2,83,0.24,11,1.03,3
Pre-Monsoon,679,28.4,69,0.23,9,2.37,1
Winter,517,12.9,70,0.02,18,1.35,0
Monsoon,736,24.7,89,0.89,16,2.61,0
Monsoon,297,23.2,95,0.63,7,3.35,0
Monsoon,260,28.9,85,0.58,7,1.83,0
Pre-Monsoon,657,28.2,61,0.43,16,3.19,0
Pre-Monsoon,456,28.6,61,0.59,0,0.95,0
Post-Monsoon,518,19.0,74,0.19,0,2.59,0
Monsoon,671,24.6,94,0.58,23,1.27,0
Winter,250,15.0,69,0.03,10,1.78,0
Post-Monsoon,516,18.5,75,0.29,14,2.44,0
Post-Monsoon,851,20.9,72,0.34,2,2.26,1
Pre-Monsoon,874,27.3,67,0.1,7,1.12,3
Post-Monsoon,857,26.0,83,0.2,14,0.97,3
Pre-Monsoon,464,29.5,78,0.38,1,1.26,0
Monsoon,695,25.4,97,0.79,14,2.7,0
Monsoon,840,26.1,90,0.85,8,1.11,0
Monsoon,846,28.5,97,0.89,19,1.59,0
Monsoon,933,24.4,88,0.56,5,1.83,0
Monsoon,797,24.4,89,0.57,15,1.61,0
Post-Monsoon,347,27.4,85,0.18,12,1.63,0
Monsoon,679,27.4,88,0.93,23,2.12,0
Post-Monsoon,658,25.4,80,0.17,5,1.98,1
Post-Monsoon,802,22.5,77,0.28,11,0.92,3
Monsoon,719,26.4,86,0.98,13,1.52,0
Post-Monsoon,594,20.1,82,0.16,13,1.22,1
Monsoon,365,25.4,89,0.65,4,1.36,0
Winter,680,21.3,70,0.07,19,2.77,1
Pre-Monsoon,866,31.3,81,0.57,0,1.91,0
Monsoon,899,23.7,91,0.68,3,1.68,0
Monsoon,461,29.6,95,0.52,12,1.58,0
Pre-Monsoon,820,29.7,62,0.28,13,2.78,1
Monsoon,791,27.0,90,0.9,5,1.62,0
Monsoon,756,29.1,98,0.74,20,1.7,0
Post-Monsoon,800,25.7,80,0.34,2,1.52,1
Winter,911,19.3,71,0.12,2,0.86,3
Post-Monsoon,281,22.9,83,0.28,23,1.2,0
Monsoon,286,27.3,87,0.99,17,2.31,0
Monsoon,783,28.1,88,0.96,0,1.76,0
Monsoon,705,24.8,90,0.53,6,1.52,0
Pre-Monsoon,711,31.0,77,0.12,6,1.84,1
Monsoon,865,28.5,93,0.73,15,1.04,0
Winter,854,16.4,67,0.0,5,2.04,1
Winter,534,14.6,75,0.05,12,1.23,0
Pre-Monsoon,696,32.3,72,0.58,20,2.0,0
Monsoon,613,24.2,96,0.66,20,1.57,0
Winter,932,19.8,70,0.12,23,1.73,1
Winter,661,16.0,80,0.13,13,1.81,1
Post-Monsoon,683,19.2,77,0.31,21,1.42,1
Post-Monsoon,742,24.0,71,0.14,5,1.64,1
Monsoon,556,29.3,86,0.58,6,1.74,0
Post-Monsoon,872,18.4,81,0.35,2,1.69,1
Winter,400,14.9,74,0.1,4,1.58,0
Post-Monsoon,366,19.1,82,0.28,5,1.08,4
Monsoon,263,22.4,87,0.87,22,1.3,0
Post-Monsoon,514,27.6,78,0.15,20,2.08,0
Pre-Monsoon,928,30.8,67,0.2,23,2.06,1
Monsoon,856,28.4,85,0.55,8,1.47,0
Monsoon,767,26.2,98,0.86,14,3.19,0
Winter,759,20.2,66,0.12,4,1.6,1
Monsoon,408,24.3,92,0.93,4,2.8,0
Monsoon,700,25.6,88,0.54,16,1.27,0
Winter,419,17.8,74,0.04,11,1.89,0
Pre-Monsoon,381,31.1,81,0.21,13,1.23,0
Post-Monsoon,818,24.7,85,0.18,9,1.76,1
Monsoon,613,28.7,90,0.96,9,2.21,0
Monsoon,322,23.2,92,0.82,23,1.69,0
Post-Monsoon,476,20.2,74,0.17,20,2.27,0
Winter,408,13.5,70,0.02,15,1.59,0
Pre-Monsoon,917,32.9,80,0.27,1,1.74,1
Post-Monsoon,265,19.1,81,0.15,9,1.19,4
Post-Monsoon,636,25.9,77,0.11,12,2.01,1
Monsoon,286,24.3,97,0.73,11,2.44,0
Monsoon,708,23.4,88,0.97,18,2.34,0
Monsoon,688,22.8,95,0.9,9,1.55,0
Monsoon,290,28.0,98,0.59,13,1.19,0
Winter,431,13.7,80,0.13,11,1.99,0
Monsoon,597,22.2,94,0.79,20,2.82,0
Monsoon,805,29.9,98,0.57,0,2.04,0
Monsoon,518,27.0,90,0.65,12,1.89,0
Winter,532,12.5,74,0.09,1,1.7,0
Post-Monsoon,257,23.7,82,0.15,15,1.58,0
Winter,409,21.6,78,0.08,15,1.38,0
Monsoon,635,24.6,97,0.93,17,1.16,0
Winter,308,14.9,68,0.01,11,2.31,0
Monsoon,485,22.1,88,0.72,0,2.05,0
Pre-Monsoon,538,25.3,83,0.46,13,1.55,0
Monsoon,788,28.2,86,0.97,22,1.45,0
Monsoon,455,22.9,90,0.96,23,2.78,0
Monsoon,368,25.6,97,0.76,12,1.95,0
Winter,686,19.0,78,0.01,14,1.11,3
Monsoon,462,22.9,86,0.85,4,1.03,0
Post-Monsoon,485,21.6,75,0.39,21,1.8,0
Monsoon,850,25.8,96,0.94,19,1.82,0
Pre-Monsoon,523,28.5,84,0.21,17,2.34,0
Monsoon,598,23.4,96,0.71,12,1.56,0
Pre-Monsoon,812,28.9,71,0.38,9,2.31,0
Monsoon,592,22.1,91,0.85,20,1.39,0
Post-Monsoon,839,19.4,72,0.36,6,1.81,0
Winter,867,19.6,75,0.06,10,2.86,2
Winter,776,13.9,73,0.06,2,1.75,1
Monsoon,484,24.7,92,0.98,10,2.43,0
Post-Monsoon,790,19.5,82,0.32,2,1.84,1
Monsoon,316,26.1,89,0.7,8,1.88,0
Monsoon,862,28.9,90,0.55,14,0.91,0
Monsoon,289,28.9,93,0.51,0,1.96,0
Monsoon,699,22.9,96,0.91,6,1.89,0
Monsoon,554,22.7,85,0.91,3,2.62,0
Monsoon,491,28.7,93,0.91,15,1.73,0
Monsoon,687,25.3,98,0.57,17,2.34,0
Pre-Monsoon,395,27.6,82,0.56,11,1.65,0
Post-Monsoon,362,25.0,78,0.38,2,3.05,0
Monsoon,398,23.6,94,0.8,2,1.67,0
Post-Monsoon,269,21.0,73,0.19,20,1.94,0
Monsoon,280,29.1,91,0.56,7,1.61,0
Winter,732,19.3,80,0.13,10,0.87,3
Pre-Monsoon,369,26.8,60,0.38,18,2.01,0
Pre-Monsoon,552,29.5,78,0.55,6,1.59,0
Post-Monsoon,650,18.4,84,0.19,21,1.54,1
Post-Monsoon,882,21.5,77,0.24,12,1.78,1
Monsoon,634,27.6,90,0.93,22,1.08,0
Monsoon,439,26.9,89,0.9,16,2.85,0
Monsoon,320,27.6,98,0.58,19,2.18,0
Monsoon,641,29.0,97,0.97,5,2.09,0
Monsoon,930,29.0,88,0.57,6,2.7,0
Winter,906,17.4,79,0.09,16,1.2,1
Pre-Monsoon,737,26.8,82,0.12,19,1.48,1
Monsoon,438,25.2,88,0.79,11,1.29,0
Pre-Monsoon,867,31.1,78,0.12,11,1.06,3
Winter,480,13.3,69,0.13,3,1.62,0
Pre-Monsoon,377,25.1,60,0.21,8,1.35,0
Pre-Monsoon,300,30.5,74,0.5,3,1.19,0
Post-Monsoon,758,21.0,70,0.37,23,1.55,0
Monsoon,849,26.1,87,0.97,11,2.55,0
Post-Monsoon,255,25.4,74,0.34,13,3.05,0
Monsoon,556,28.6,93,0.7,8,1.81,0
Post-Monsoon,812,23.6,74,0.3,1,2.29,1
Winter,287,18.0,74,0.02,12,2.77,0
Winter,417,20.9,80,0.04,2,1.91,0
Monsoon,588,25.9,87,0.55,7,0.81,0
Pre-Monsoon,675,29.4,80,0.13,6,1.95,1
Post-Monsoon,471,22.6,78,0.3,14,2.38,0
Post-Monsoon,276,19.9,82,0.23,19,1.26,0
Monsoon,275,27.0,88,0.96,21,0.83,0
Post-Monsoon,278,26.3,82,0.15,23,1.06,4
Pre-Monsoon,309,25.2,79,0.24,15,1.92,0
Monsoon,609,25.5,95,0.65,7,1.62,0
Post-Monsoon,476,24.4,83,0.37,16,1.27,0
Monsoon,812,28.8,98,0.84,11,1.86,0
Post-Monsoon,460,27.6,83,0.15,13,2.88,0
Pre-Monsoon,886,27.1,66,0.37,20,1.04,0
Monsoon,611,22.8,90,0.89,6,1.47,0
Winter,643,15.0,77,0.1,23,1.64,1
Pre-Monsoon,351,31.9,85,0.58,10,1.34,0
Post-Monsoon,510,20.1,77,0.35,2,2.3,0
Monsoon,305,29.1,97,0.98,23,1.9,0
Monsoon,869,25.8,85,0.91,0,1.77,0
Pre-Monsoon,264,29.6,67,0.33,1,2.78,0
Monsoon,799,29.5,98,0.9,17,2.42,0
Post-Monsoon,580,18.9,75,0.16,23,1.31,1
Post-Monsoon,730,21.9,81,0.16,5,2.61,1
Monsoon,380,25.5,98,0.51,14,1.71,0
Monsoon,489,25.6,93,0.62,5,1.56,0
Winter,691,13.9,67,0.15,14,1.72,1
Winter,923,19.8,71,0.02,9,1.43,1
Monsoon,429,23.8,96,0.88,11,3.12,0
Monsoon,690,28.4,96,0.5,19,3.28,0
Monsoon,368,29.9,96,0.8,0,0.93,0
Winter,347,12.3,69,0.01,1,3.22,0
Monsoon,699,23.2,88,0.6,14,2.57,0
Monsoon,933,23.9,90,0.56,20,2.2,0
Pre-Monsoon,446,26.6,66,0.12,15,1.04,4
Monsoon,410,28.8,96,0.96,12,2.65,0
Winter,634,12.6,74,0.06,7,1.15,3
Winter,285,16.9,74,0.1,10,2.03,0
Pre-Monsoon,265,31.6,63,0.13,3,1.25,0
