season_Monsoon,season_Post-Monsoon,season_Pre-Monsoon,season_Winter,soil_moisture,temperature,humidity,rain_probability,time_of_day,soil_ec
0.0,0.0,1.0,0.0,835.0,25.5,67.0,0.5,0.0,2.42
1.0,0.0,0.0,0.0,413.0,28.8,98.0,0.72,15.0,2.04
1.0,0.0,0.0,0.0,874.0,27.7,87.0,0.9,17.0,1.13
1.0,0.0,0.0,0.0,470.0,29.8,86.0,0.63,2.0,1.4
0.0,1.0,0.0,0.0,341.0,27.6,70.0,0.12,13.0,1.97
1.0,0.0,0.0,0.0,503.0,24.7,85.0,0.69,11.0,1.68
0.0,0.0,0.0,1.0,330.0,18.9,80.0,0.09,19.0,1.89
1.0,0.0,0.0,0.0,749.0,24.5,96.0,0.75,14.0,2.07
0.0,0.0,0.0,1.0,373.0,20.0,67.0,0.08,16.0,1.01
1.0,0.0,0.0,0.0,403.0,24.0,95.0,0.78,11.0,0.96
0.0,0.0,1.0,0.0,282.0,33.0,84.0,0.51,13.0,1.11
1.0,0.0,0.0,0.0,618.0,25.4,97.0,0.86,15.0,1.65
1.0,0.0,0.0,0.0,922.0,24.3,85.0,0.8,0.0,2.19
1.0,0.0,0.0,0.0,433.0,24.7,95.0,0.66,5.0,3.09
0.0,0.0,1.0,0.0,625.0,29.7,62.0,0.47,16.0,1.56
0.0,0.0,0.0,1.0,545.0,19.4,69.0,0.06,0.0,3.07
1.0,0.0,0.0,0.0,300.0,28.5,97.0,0.73,23.0,1.47
0.0,0.0,1.0,0.0,404.0,25.8,76.0,0.55,17.0,2.45
1.0,0.0,0.0,0.0,553.0,24.6,92.0,0.88,21.0,0.91
1.0,0.0,0.0,0.0,356.0,27.3,94.0,0.75,7.0,2.17
0.0,0.0,0.0,1.0,756.0,13.4,78.0,0.13,0.0,1.37
0.0,1.0,0.0,0.0,460.0,21.8,77.0,0.16,12.0,1.51
0.0,0.0,0.0,1.0,472.0,15.7,68.0,0.12,7.0,2.07
0.0,0.0,1.0,0.0,598.0,32.2,62.0,0.31,13.0,1.81
1.0,0.0,0.0,0.0,405.0,26.7,93.0,0.5,5.0,2.63
1.0,0.0,0.0,0.0,873.0,22.8,85.0,0.67,3.0,0.99
0.0,0.0,0.0,1.0,771.0,18.2,73.0,0.05,13.0,1.93
1.0,0.0,0.0,0.0,471.0,24.7,89.0,0.51,10.0,0.79
0.0,0.0,1.0,0.0,328.0,30.0,85.0,0.18,6.0,1.2
0.0,0.0,1.0,0.0,913.0,25.7,80.0,0.36,4.0,1.06
0.0,0.0,0.0,1.0,599.0,20.0,74.0,0.14,23.0,1.92
1.0,0.0,0.0,0.0,901.0,24.5,91.0,0.79,14.0,2.37
1.0,0.0,0.0,0.0,322.0,25.7,89.0,0.88,11.0,1.27
0.0,0.0,1.0,0.0,903.0,27.8,60.0,0.11,23.0,2.47
0.0,1.0,0.0,0.0,369.0,27.7,75.0,0.18,23.0,2.51
1.0,0.0,0.0,0.0,936.0,29.0,92.0,0.84,17.0,2.3
0.0,1.0,0.0,0.0,773.0,18.8,75.0,0.12,12.0,2.37
1.0,0.0,0.0,0.0,405.0,28.2,91.0,0.55,18.0,2.22
0.0,0.0,1.0,0.0,457.0,27.5,65.0,0.19,10.0,2.84
1.0,0.0,0.0,0.0,617.0,23.5,97.0,0.77,19.0,1.33
1.0,0.0,0.0,0.0,392.0,24.0,89.0,0.79,22.0,2.12
1.0,0.0,0.0,0.0,864.0,26.4,97.0,0.97,20.0,2.63
0.0,0.0,1.0,0.0,525.0,28.3,84.0,0.59,0.0,1.49
0.0,1.0,0.0,0.0,821.0,25.0,80.0,0.34,3.0,1.57
1.0,0.0,0.0,0.0,338.0,29.3,98.0,0.84,1.0,1.66
1.0,0.0,0.0,0.0,428.0,26.6,91.0,0.85,4.0,2.58
1.0,0.0,0.0,0.0,538.0,22.3,92.0,0.97,5.0,1.15
0.0,0.0,1.0,0.0,657.0,32.1,83.0,0.14,3.0,1.67
1.0,0.0,0.0,0.0,872.0,26.9,93.0,0.98,14.0,2.78
1.0,0.0,0.0,0.0,362.0,27.4,98.0,0.52,18.0,1.51
0.0,1.0,0.0,0.0,296.0,18.8,76.0,0.25,2.0,0.97
